lag,number of peak events,mean of peak events,std of peak events,t_stat of peak events,p_val of peak events,number of trough events,mean of trough events,std of trough events,t_stat of trough events,p_val of trough events
77,117,-0.004282929152186814,0.06435974816582392,-0.7198126674269303,0.47308815493132583,167,0.0011095165954028126,0.06970087854212093,0.20570923347396172,0.8372701013779483
78,117,0.0007583420537944496,0.0879385517957783,0.09327790042459477,0.9258437039135199,167,-0.0004999523698510023,0.07191166221382343,-0.08984368147790045,0.9285197453001541
79,117,0.0011012588208926415,0.08416095356711359,0.14153755315233216,0.8876908105429642,167,0.0012440170572022037,0.08430920976425868,0.19068193574382794,0.8490077935618705
80,117,0.0022350470343512592,0.07475092746607499,0.32341712505511716,0.7469616843320919,167,0.0006168797718590985,0.06450598744186826,0.12358300108039429,0.9017949603124653
81,117,-0.012391606173920286,0.05584030339967486,-2.4003400084867317,0.017970472707525113,167,0.00027871101749825004,0.07955301636177738,0.045274714588155685,0.9639427595095613
82,117,0.010945390343796501,0.07213916651843715,1.6411680929709893,0.10347119859702068,167,-0.0039580893831897375,0.07268710921641652,-0.7036981929087622,0.4826066306222926
83,117,0.0005426287242428769,0.07339735350517097,0.0799678297117129,0.9364006398497939,167,0.0026235021685820418,0.06087127368811882,0.556964191060022,0.5783020477378165
84,117,-0.0014650753315061387,0.06852437504653183,-0.23126387770376927,0.8175172364423161,167,0.005889948452767524,0.07515585316508576,1.0127608866007236,0.31264827889587526
85,117,0.012448764028246104,0.0699750808407419,1.9243131903833222,0.05676490993759179,167,0.006047651157327385,0.0730227238525029,1.0702541953947233,0.2860585947943565
86,117,0.007500584977836775,0.07435082832279892,1.0911947187522888,0.27744854267678754,167,-0.008839541466355696,0.06771920851300321,-1.68684857842121,0.09351078988070018
87,117,1.4130287378821258e-05,0.06451349467672424,0.002369154357705086,0.9981137596059546,167,-0.009967121231349059,0.06324592174904012,-2.036551748192378,0.04328384891382524
88,117,0.005814557540499925,0.06499188573087893,0.9677216680503636,0.33519671974899334,167,-0.0051504767947708795,0.056994011315512294,-1.1678214451686815,0.2445533926726306
89,117,0.0006508485399782057,0.07488942830335624,0.09400530234841412,0.9252671259001408,167,0.007755521406728119,0.06880968196349092,1.4565308443615363,0.14713479446809333
90,117,0.00914658648465776,0.10321500315536497,0.9585375834245266,0.3397853346505869,167,0.009782445928242754,0.06254228191749027,2.021305551378938,0.04485474341169812
